name,category,effectIndex,startsCombo,combosWith
Accelerock,cool,1,FALSE,
Agility,cool,1,TRUE,Baton Pass|Electro Ball
Aqua Jet,cool,1,FALSE,
Extreme Speed,cool,1,FALSE,
Mach Punch,cool,1,FALSE,
Quick Attack,cool,1,FALSE,
Tailwind,cool,1,FALSE,
Vacuum Wave,cool,1,FALSE,
Water Shuriken,cool,1,FALSE,
Baby-Doll Eyes,cute,1,FALSE,
Bullet Punch,tough,1,FALSE,
Jet Punch,tough,1,FALSE,
Rock Polish,tough,1,TRUE,Baton Pass|Electro Ball
Teleport,clever,2,FALSE,
Whirlwind,clever,2,FALSE,
Circle Throw,cool,2,FALSE,
Roar,cool,2,FALSE,
After You,cute,2,FALSE,
Bide,tough,2,FALSE,
Curse,tough,2,FALSE,
Dragon Tail,tough,2,FALSE,
Endure,tough,2,TRUE,Endeavor|Flail|Reversal|Pain Split
Dive,beauty,3,FALSE,
Life Dew,beauty,3,FALSE,
Light Screen,beauty,3,FALSE,
Safeguard,beauty,3,FALSE,
Defend Order,clever,3,FALSE,
Fly,clever,3,FALSE,
Grass Whistle,clever,3,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Odor Sleuth,clever,3,FALSE,
Reflect,clever,3,FALSE,
Defense Curl,cute,3,TRUE,Rollout|Ice Ball
Protect,cute,3,FALSE,
Refresh,cute,3,FALSE,
Substitute,cute,3,FALSE,
Sweet Scent,cute,3,FALSE,
Withdraw,cute,3,FALSE,
Dig,tough,3,FALSE,
Harden,tough,3,FALSE,
Swallow,tough,3,FALSE,
Aurora Veil,beauty,4,FALSE,
Flower Shield,beauty,4,FALSE,
Heal Bell,beauty,4,FALSE,
Lunar Blessing,beauty,4,FALSE,
Mist,beauty,4,FALSE,
Aromatherapy,clever,4,FALSE,
Jungle Healing,clever,4,FALSE,
Silk Trap,clever,4,FALSE,
Barrier,cool,4,FALSE,
Detect,cool,4,FALSE,
King's Shield,cool,4,FALSE,
Phantom Force,cool,4,FALSE,
Shadow Force,cool,4,FALSE,
Amnesia,cute,4,TRUE,Baton Pass|Stored Power
Bounce,cute,4,FALSE,
Cotton Guard,cute,4,TRUE,Baton Pass|Body Press|Stored Power
Hold Hands,cute,4,TRUE,Circle Throw|Seismic Toss|Sky Drop|Smack Down|Storm Throw|Vital Throw
Minimize,cute,4,FALSE,
Rest,cute,4,TRUE,Snore|Sleep Talk
Shelter,cute,4,FALSE,
Acid Armor,tough,4,TRUE,Body Press
Baneful Bunker,tough,4,TRUE,Barb Barrage|Hex|Infernal Parade|Venom Drench|Venoshock
Burning Bulwark,tough,4,TRUE,Hex|Infernal Parade
Iron Defense,tough,4,TRUE,Body Press
Obstruct,tough,4,FALSE,
Spiky Shield,tough,4,FALSE,
Wide Guard,tough,4,FALSE,
Aqua Ring,beauty,5,FALSE,
Aromatic Mist,beauty,5,FALSE,
Autotomize,beauty,5,TRUE,Baton Pass|Electro Ball
Cosmic Power,beauty,5,FALSE,
Geomancy,beauty,5,FALSE,
Growth,beauty,5,FALSE,
Meditate,beauty,5,FALSE,
Ominous Wind,beauty,5,FALSE,
Quiver Dance,beauty,5,FALSE,
Silver Wind,beauty,5,FALSE,
Swords Dance,beauty,5,FALSE,
Tail Glow,beauty,5,FALSE,
Victory Dance,beauty,5,FALSE,
Calm Mind,clever,5,TRUE,Baton Pass|Stored Power
Charge,clever,5,TRUE,Bolt Beak|Bolt Strike|Charge Beam|Discharge|Double Shock|Electro Ball|Electro Drift|Fusion Bolt|Nuzzle|Parabolic Charge|Shock Wave|Spark|Supercell Slam|Thunder|Thunder Fang|Thunder Punch|Thunder Shock|Thunderbolt|Volt Switch|Volt Tackle|Zing Zap
Ingrain,clever,5,FALSE,
Leech Seed,clever,5,FALSE,
Magnetic Flux,clever,5,FALSE,
Nasty Plot,clever,5,TRUE,Baton Pass|Stored Power
Shift Gear,clever,5,TRUE,Gear Grind
Bulk Up,cool,5,TRUE,Power Trip
Double Team,cool,5,FALSE,
Dragon Dance,cool,5,FALSE,
Focus Energy,cool,5,TRUE,Aeroblast|Aqua Cutter|Attack Order|Blaze Kick|Cross Poison|Drill Run|Esper Wing|Karate Chop|Leaf Blade|Night Slash|Poison Tail|Psycho Cut|Shadow Claw|Snipe Shot|Spacial Rend|Stone Edge|Triple Arrows
Hone Claws,cute,5,TRUE,Baton Pass|Stored Power
Lucky Chant,cute,5,FALSE,
Sharpen,cute,5,FALSE,
Stuff Cheeks,cute,5,TRUE,Belch|Recycle
Take Heart,cute,5,TRUE,Baton Pass|Stored Power
Tidy Up,cute,5,FALSE,
Ancient Power,tough,5,FALSE,
Coil,tough,5,FALSE,
Rototiller,tough,5,TRUE,Bullet Seed|Leech Seed|Seed Bomb|Worry Seed
Stockpile,tough,5,TRUE,Spit Up|Swallow
Aqua Step,beauty,6,FALSE,
Charge Beam,beauty,6,FALSE,
Fiery Dance,beauty,6,FALSE,
Torch Song,beauty,6,FALSE,
Beat Up,clever,6,FALSE,
Mystical Power,clever,6,TRUE,Baton Pass|Stored Power
Order Up,clever,6,FALSE,
Secret Power,clever,6,FALSE,
Stored Power,clever,6,FALSE,
Acrobatics,cool,6,FALSE,
Esper Wing,cool,6,FALSE,
Flame Charge,cool,6,FALSE,
Power Trip,cool,6,FALSE,
Techno Blast,cool,6,FALSE,
Trailblaze,cool,6,FALSE,
Baton Pass,cute,6,FALSE,
Last Resort,cute,6,FALSE,
Belch,tough,6,FALSE,
Power-Up Punch,tough,6,FALSE,
Psyshield Bash,tough,6,FALSE,
Spit Up,tough,6,FALSE,
Aura Sphere,beauty,7,FALSE,
Clear Smog,beauty,7,FALSE,
Magical Leaf,beauty,7,FALSE,
False Surrender,clever,7,FALSE,
Feint Attack,clever,7,FALSE,
Flower Trick,clever,7,FALSE,
Kowtow Cleave,clever,7,FALSE,
Miracle Eye,clever,7,TRUE,Fissure|Guillotine|Horn Drill|Sheer Cold
Shadow Punch,clever,7,FALSE,
Smart Strike,clever,7,FALSE,
Tachyon Cutter,clever,7,FALSE,
Aerial Ace,cool,7,FALSE,
Defog,cool,7,FALSE,
Magnet Bomb,cool,7,FALSE,
Quick Guard,cool,7,FALSE,
Shock Wave,cool,7,FALSE,
Swift,cool,7,FALSE,
Disarming Voice,cute,7,FALSE,
Milk Drink,cute,7,FALSE,
Soft-Boiled,cute,7,TRUE,Egg Bomb
Noble Roar,tough,7,FALSE,
Feather Dance,beauty,8,FALSE,
Magic Coat,beauty,8,FALSE,
Mirror Coat,beauty,8,FALSE,
Trop Kick,beauty,8,FALSE,
Psycho Shift,clever,8,FALSE,
Howl,cool,8,FALSE,
Metal Burst,cool,8,FALSE,
Temper Flare,cool,8,FALSE,
Vital Throw,cool,8,FALSE,
Facade,cute,8,FALSE,
Growl,cute,8,FALSE,
Stomping Tantrum,cute,8,FALSE,
Struggle Bug,cute,8,FALSE,
Tail Whip,cute,8,FALSE,
Beak Blast,tough,8,TRUE,Hex|Infernal Parade
Comeuppance,tough,8,FALSE,
Counter,tough,8,FALSE,
Endeavor,tough,8,FALSE,
Focus Punch,tough,8,FALSE,
Payback,tough,8,FALSE,
Revenge,tough,8,FALSE,
Shell Trap,tough,8,FALSE,
Fusion Flare,beauty,9,FALSE,
Assurance,clever,9,FALSE,
Fusion Bolt,cool,9,FALSE,
Gyro Ball,cool,9,FALSE,
Reversal,cool,9,FALSE,
Trump Card,cool,9,FALSE,
Flail,cute,9,FALSE,
Grass Knot,cute,9,FALSE,
Body Press,tough,9,FALSE,
Low Kick,tough,9,FALSE,
Rage Fist,tough,9,FALSE,
Icicle Spear,beauty,10,FALSE,
Moonlight,beauty,10,FALSE,
Morning Sun,beauty,10,FALSE,
Tri Attack,beauty,10,FALSE,
Psywave,clever,10,FALSE,
Synthesis,clever,10,FALSE,
Bullet Seed,cool,10,FALSE,
Dire Claw,cool,10,FALSE,
Fickle Beam,cool,10,FALSE,
Fury Attack,cool,10,FALSE,
Pin Missile,cool,10,FALSE,
Scale Shot,cool,10,FALSE,
Spike Cannon,cool,10,FALSE,
Assist,cute,10,FALSE,
Barrage,cute,10,FALSE,
Double Slap,cute,10,FALSE,
Metronome,cute,10,FALSE,
Population Bomb,cute,10,FALSE,
Sleep Talk,cute,10,FALSE,
Tail Slap,cute,10,FALSE,
Acupressure,tough,10,FALSE,
Arm Thrust,tough,10,FALSE,
Bone Rush,tough,10,FALSE,
Comet Punch,tough,10,FALSE,
Fury Swipes,tough,10,FALSE,
Rock Blast,tough,10,FALSE,
Shore Up,tough,10,FALSE,
Draco Meteor,beauty,11,FALSE,
Dragon Ascent,beauty,11,FALSE,
Eruption,beauty,11,FALSE,
Fleur Cannon,beauty,11,FALSE,
Leaf Storm,beauty,11,FALSE,
Light of Ruin,beauty,11,FALSE,
Overheat,beauty,11,FALSE,
Petal Dance,beauty,11,FALSE,
Seed Flare,beauty,11,FALSE,
Spacial Rend,beauty,11,FALSE,
Steel Beam,beauty,11,FALSE,
Water Spout,beauty,11,FALSE,
Armor Cannon,clever,11,FALSE,
Chloroblast,clever,11,FALSE,
Fillet Away,clever,11,FALSE,
Make It Rain,clever,11,FALSE,
Mind Blown,clever,11,FALSE,
Psycho Boost,clever,11,FALSE,
Axe Kick,cool,11,FALSE,
Brave Bird,cool,11,FALSE,
Dragon Energy,cool,11,FALSE,
Flare Blitz,cool,11,FALSE,
High Jump Kick,cool,11,FALSE,
Jump Kick,cool,11,FALSE,
Outrage,cool,11,FALSE,
Raging Fury,cool,11,FALSE,
Spin Out,cool,11,TRUE,Gyro Ball
Submission,cool,11,FALSE,
V-create,cool,11,FALSE,
Volt Tackle,cool,11,FALSE,
Belly Drum,cute,11,FALSE,
Clanging Scales,tough,11,FALSE,
Clangorous Soul,tough,11,TRUE,Clanging Scales
Close Combat,tough,11,FALSE,
Double-Edge,tough,11,FALSE,
Glaive Rush,tough,11,FALSE,
Hammer Arm,tough,11,FALSE,
Head Charge,tough,11,FALSE,
Head Smash,tough,11,FALSE,
Headlong Rush,tough,11,FALSE,
Ice Hammer,tough,11,FALSE,
No Retreat,tough,11,FALSE,
Supercell Slam,tough,11,FALSE,
Superpower,tough,11,FALSE,
Take Down,tough,11,FALSE,
Thrash,tough,11,FALSE,
Wave Crash,tough,11,FALSE,
Wild Charge,tough,11,FALSE,
Wood Hammer,tough,11,FALSE,
Blast Burn,beauty,12,FALSE,
Blood Moon,beauty,12,FALSE,
Hydro Cannon,beauty,12,FALSE,
Prismatic Laser,beauty,12,FALSE,
Roar of Time,beauty,12,FALSE,
Double Shock,clever,12,FALSE,
Eternabeam,clever,12,FALSE,
Burn Up,cool,12,FALSE,
Frenzy Plant,cool,12,FALSE,
Hyper Beam,cool,12,FALSE,
Meteor Assault,cool,12,FALSE,
Teeter Dance,cute,12,FALSE,
Boomburst,tough,12,FALSE,
Giga Impact,tough,12,FALSE,
Gigaton Hammer,tough,12,FALSE,
Grudge,tough,12,FALSE,
Rock Wrecker,tough,12,FALSE,
Explosion,beauty,13,FALSE,
Healing Wish,beauty,13,FALSE,
Lunar Dance,beauty,13,FALSE,
Misty Explosion,beauty,13,FALSE,
Self-Destruct,beauty,13,FALSE,
Destiny Bond,clever,13,FALSE,
Final Gambit,tough,13,FALSE,
Memento,tough,13,FALSE,
Mean Look,beauty,14,TRUE,Explosion|Memento|Misty Explosion|Perish Song|Self-Destruct
Relic Song,beauty,14,FALSE,
Dark Void,clever,14,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Disable,clever,14,FALSE,
Flatter,clever,14,FALSE,
Gravity,clever,14,TRUE,Grav Apple
Magnet Rise,clever,14,FALSE,
Malignant Chain,clever,14,FALSE,
Psychic Noise,clever,14,FALSE,
Spider Web,clever,14,TRUE,Explosion|Memento|Misty Explosion|Perish Song|Self-Destruct
Spikes,clever,14,TRUE,Circle Throw|Dragon Tail|Roar|Whirlwind
Telekinesis,clever,14,FALSE,
Toxic Spikes,clever,14,TRUE,Barb Barrage|Hex|Infernal Parade|Venom Drench|Venoshock|Circle Throw|Dragon Tail|Roar|Whirlwind
Worry Seed,clever,14,FALSE,
Ceaseless Edge,cool,14,TRUE,Circle Throw|Dragon Tail|Whirlwind|Roar
Stealth Rock,cool,14,TRUE,Circle Throw|Dragon Tail|Whirlwind|Roar
Stone Axe,cool,14,TRUE,Circle Throw|Dragon Tail|Whirlwind|Roar
Throat Chop,cool,14,FALSE,
Attract,cute,14,FALSE,
Block,cute,14,TRUE,Explosion|Memento|Misty Explosion|Perish Song|Self-Destruct
Encore,cute,14,TRUE,Counter|Destiny Bond|Grudge|King's Shield|Metal Burst|Mirror Coat|Shell Trap|Spite
Sing,cute,14,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Sweet Kiss,cute,14,FALSE,
Yawn,cute,14,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Scald,tough,14,FALSE,
Scorching Sands,tough,14,FALSE,
Torment,tough,14,TRUE,Counter|Destiny Bond|Grudge|King's Shield|Metal Burst|Mirror Coat|Shell Trap|Spite
Grassy Terrain,beauty,15,TRUE,Camouflage|Floral Healing|Grassy Glide|Nature Power|Secret Power|Terrain Pulse
Misty Terrain,beauty,15,TRUE,Camouflage|Misty Explosion|Nature Power|Secret Power|Terrain Pulse
Origin Pulse,beauty,15,FALSE,
Crafty Shield,clever,15,FALSE,
Electric Terrain,clever,15,TRUE,Camouflage|Nature Power|Psyblade|Rising Voltage|Secret Power|Terrain Pulse
Hyperspace Hole,clever,15,FALSE,
Psychic Terrain,clever,15,TRUE,Camouflage|Expanding Force|Nature Power|Secret Power|Terrain Pulse
Sucker Punch,clever,15,FALSE,
Bolt Beak,cool,15,FALSE,
Electro Ball,cool,15,FALSE,
Fishious Rend,cool,15,FALSE,
Grassy Glide,cool,15,FALSE,
Plasma Fists,cool,15,FALSE,
Thunderclap,cool,15,FALSE,
Upper Hand,cool,15,FALSE,
Decorate,cute,15,FALSE,
Coaching,tough,15,FALSE,
Hyperspace Fury,tough,15,FALSE,
Work Up,tough,15,FALSE,
Diamond Storm,beauty,16,FALSE,
Doom Desire,beauty,16,FALSE,
Icicle Crash,beauty,16,FALSE,
Mortal Spin,beauty,16,TRUE,Barb Barrage|Hex|Infernal Parade|Venom Drench|Venoshock
Sacred Fire,beauty,16,FALSE,
Steam Eruption,beauty,16,FALSE,
Aeroblast,cool,16,FALSE,
Lash Out,cool,16,FALSE,
Precipice Blades,cool,16,FALSE,
Wish,cute,16,TRUE,Bestow|Fling|Present
Heat Crash,tough,16,FALSE,
Heavy Slam,tough,16,FALSE,
Shell Smash,tough,16,TRUE,Baton Pass|Electro Ball
Fiery Wrath,beauty,17,FALSE,
Fire Pledge,beauty,17,FALSE,
Floral Healing,beauty,17,FALSE,
Grass Pledge,beauty,17,FALSE,
Heal Pulse,beauty,17,FALSE,
Tera Blast,beauty,17,FALSE,
Water Pledge,beauty,17,FALSE,
Freezing Glare,clever,17,FALSE,
Pay Day,clever,17,FALSE,
Revival Blessing,clever,17,FALSE,
Sacred Sword,cool,17,FALSE,
Storm Throw,cool,17,FALSE,
Thunderous Kick,cool,17,FALSE,
Celebrate,cute,17,TRUE,Bestow|Fling|Present
Happy Hour,cute,17,TRUE,Bestow|Fling|Present
Mud Sport,cute,17,FALSE,
Water Sport,cute,17,FALSE,
Chip Away,tough,17,FALSE,
Darkest Lariat,tough,17,FALSE,
Flying Press,tough,17,FALSE,
Fire Blast,beauty,18,FALSE,
Hydro Pump,beauty,18,FALSE,
Nature Power,beauty,18,FALSE,
Rain Dance,beauty,18,TRUE,Bleakwind Storm|Electro Shot|Hurricane|Sandsear Storm|Soak|Thunder|Water Sport|Weather Ball|Wildbolt Storm
Sunny Day,beauty,18,TRUE,Growth|Hydro Steam|Moonlight|Morning Sun|Solar Beam|Solar Blade|Synthesis|Weather Ball
Expanding Force,clever,18,FALSE,
Last Respects,clever,18,FALSE,
Natural Gift,clever,18,FALSE,
Psyblade,clever,18,FALSE,
Fell Stinger,cool,18,FALSE,
Mega Kick,cool,18,FALSE,
Rapid Spin,cool,18,FALSE,
Rising Voltage,cool,18,FALSE,
Thunder,cool,18,FALSE,
Bestow,cute,18,FALSE,
Play Nice,cute,18,TRUE,Circle Throw|Seismic Toss|Sky Drop|Smack Down|Storm Throw|Vital Throw|Wake-Up Slap
Magnitude,tough,18,FALSE,
Power Whip,tough,18,FALSE,
Blue Flare,beauty,19,FALSE,
Bolt Strike,beauty,19,FALSE,
Echoed Voice,beauty,19,FALSE,
Freeze-Dry,beauty,19,FALSE,
Infernal Parade,beauty,19,FALSE,
Judgement,beauty,19,FALSE,
Moongeist Beam,beauty,19,FALSE,
Mystical Fire,beauty,19,FALSE,
Revelation Dance,beauty,19,FALSE,
Secret Sword,beauty,19,FALSE,
Terrain Pulse,beauty,19,FALSE,
Weather Ball,beauty,19,FALSE,
Attack Order,clever,19,FALSE,
Hidden Power,clever,19,FALSE,
Kinesis,clever,19,FALSE,
Multi-Attack,clever,19,FALSE,
Night Shade,clever,19,FALSE,
Photon Geyser,clever,19,FALSE,
Transform,clever,19,FALSE,
Barb Barrage,cool,19,FALSE,
Blaze Kick,cool,19,FALSE,
Collision Course,cool,19,FALSE,
Dragon Rage,cool,19,FALSE,
Electro Drift,cool,19,FALSE,
Fury Cutter,cool,19,FALSE,
Hyper Fang,cool,19,FALSE,
Ivy Cudgel,cool,19,FALSE,
Leaf Blade,cool,19,FALSE,
Leaf Tornado,cool,19,FALSE,
Megahorn,cool,19,FALSE,
Meteor Mash,cool,19,FALSE,
Night Daze,cool,19,FALSE,
Psystrike,cool,19,FALSE,
Razor Shell,cool,19,FALSE,
Searing Shot,cool,19,FALSE,
Shadow Bone,cool,19,FALSE,
Shell Side Arm,cool,19,FALSE,
Sonic Boom,cool,19,FALSE,
Sunsteel Strike,cool,19,FALSE,
Triple Kick,cool,19,FALSE,
Aura Wheel,cute,19,TRUE,Baton Pass|Electro Ball
Heart Stamp,cute,19,FALSE,
Pollen Puff,cute,19,FALSE,
Present,cute,19,FALSE,
Rollout,cute,19,FALSE,
Bone Club,tough,19,FALSE,
Crabhammer,tough,19,FALSE,
Crush Grip,tough,19,FALSE,
Mega Punch,tough,19,FALSE,
Octazooka,tough,19,FALSE,
Raging Bull,tough,19,FALSE,
Seismic Toss,tough,19,FALSE,
Steamroller,tough,19,FALSE,
Aurora Beam,beauty,20,FALSE,
Bubble Beam,beauty,20,FALSE,
Chilling Water,beauty,20,FALSE,
Mirror Shot,beauty,20,FALSE,
Bitter Malice,clever,20,FALSE,
Gust,clever,20,FALSE,
Knock Off,clever,20,FALSE,
Low Sweep,clever,20,FALSE,
Mega Drain,clever,20,FALSE,
Poison Sting,clever,20,FALSE,
Smokescreen,clever,20,FALSE,
String Shot,clever,20,TRUE,Electroweb|Spider Web|Sticky Web
Dragon Breath,cool,20,FALSE,
Fire Lash,cool,20,FALSE,
Lunge,cool,20,FALSE,
Astonish,cute,20,FALSE,
Fake Out,cute,20,FALSE,
Frustration,cute,20,FALSE,
Lick,cute,20,FALSE,
Mud Bomb,cute,20,FALSE,
Pounce,cute,20,FALSE,
Bite,tough,20,FALSE,
Drum Beating,tough,20,FALSE,
Sludge,tough,20,FALSE,
Bug Buzz,beauty,21,FALSE,
Ice Beam,beauty,21,FALSE,
Inferno,beauty,21,TRUE,Hex|Infernal Parade
Lumina Crash,beauty,21,FALSE,
Moonblast,beauty,21,FALSE,
Psyshock,beauty,21,FALSE,
Giga Drain,clever,21,FALSE,
Toxic Thread,clever,21,TRUE,Barb Barrage|Electroweb|Hex|Infernal Parade|Spider Web|Sticky Web|Venom Drench|Venoshock
Air Slash,cool,21,FALSE,
Crush Claw,cool,21,FALSE,
First Impression,cute,21,FALSE,
Skitter Smack,cute,21,FALSE,
Body Slam,tough,21,FALSE,
Crunch,tough,21,FALSE,
Discharge,beauty,22,FALSE,
Heat Wave,beauty,22,FALSE,
Land's Wrath,beauty,22,FALSE,
Petal Blizzard,beauty,22,FALSE,
Springtide Storm,beauty,22,FALSE,
Surf,beauty,22,FALSE,
Bleakwind Storm,clever,22,FALSE,
Breaking Swipe,cool,22,FALSE,
Hyper Voice,cool,22,FALSE,
Overdrive,cool,22,FALSE,
Wildbolt Storm,cool,22,FALSE,
Brutal Swing,tough,22,FALSE,
Bulldoze,tough,22,FALSE,
Lava Plume,tough,22,FALSE,
Muddy Water,tough,22,FALSE,
Rock Slide,tough,22,FALSE,
Sandsear Storm,tough,22,FALSE,
Blizzard,beauty,23,FALSE,
Spore,beauty,23,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Eerie Impulse,clever,23,FALSE,
Hypnosis,clever,23,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Metal Sound,clever,23,FALSE,
Nightmare,clever,23,FALSE,
Sleep Powder,clever,23,TRUE,Dream Eater|Hex|Infernal Parade|Nightmare|Wake-Up Slap
Mat Block,cool,23,FALSE,
Psychic Fangs,cool,23,FALSE,
Thunder Wave,cool,23,TRUE,Hex|Infernal Parade|Smelling Salts
Syrup Bomb,cute,23,FALSE,
Glare,tough,23,TRUE,Hex|Infernal Parade|Smelling Salts
Rage,tough,23,FALSE,
Avalanche,beauty,24,FALSE,
Electro Shot,beauty,24,FALSE,
Flame Wheel,beauty,24,FALSE,
Freeze Shock,beauty,24,FALSE,
Ice Burn,beauty,24,FALSE,
Meteor Beam,beauty,24,FALSE,
Poltergeist,clever,24,FALSE,
Cross Chop,cool,24,FALSE,
Drill Peck,cool,24,FALSE,
Night Slash,cool,24,FALSE,
Razor Wind,cool,24,FALSE,
Retaliate,cool,24,FALSE,
Sky Attack,cool,24,FALSE,
Solar Beam,cool,24,FALSE,
Solar Blade,cool,24,FALSE,
Steel Wing,cool,24,FALSE,
Purify,cute,24,FALSE,
Brine,tough,24,FALSE,
Dragon Rush,tough,24,FALSE,
Drill Run,tough,24,FALSE,
Mountain Gale,tough,24,FALSE,
Skull Bash,tough,24,FALSE,
Smelling Salts,tough,24,FALSE,
Steel Roller,tough,24,FALSE,
Stone Edge,tough,24,FALSE,
Wake-Up Slap,tough,24,FALSE,
Dynamax Cannon,beauty,25,FALSE,
Hail,beauty,25,TRUE,Aurora Veil|Blizzard|Glaciate|Icicile Crash|Icy Wind|Powder Snow|Weather Ball
Nature's Madness,beauty,25,FALSE,
Sheer Cold,beauty,25,FALSE,
Snowscape,beauty,25,TRUE,Aurora Veil|Blizzard|Glaciate|Icicile Crash|Icy Wind|Powder Snow|Weather Ball
Eerie Spell,clever,25,FALSE,
Forest's Curse,clever,25,FALSE,
Mist Ball,clever,25,FALSE,
Stun Spore,clever,25,TRUE,Hex|Infernal Parade|Smelling Salts
Behemoth Blade,cool,25,FALSE,
Guillotine,cool,25,FALSE,
Horn Drill,cool,25,FALSE,
Ruination,cool,25,FALSE,
Zap Cannon,cool,25,TRUE,Hex|Infernal Parade|Smelling Salts
Behemoth Bash,tough,25,FALSE,
Earthquake,tough,25,FALSE,
Fissure,tough,25,FALSE,
Gunk Shot,tough,25,FALSE,
Hard Press,tough,25,FALSE,
Hurricane,tough,25,FALSE,
Sandstorm,tough,25,TRUE,Sand Attack|Sand Tomb|Shore Up|Weather Ball
Spite,tough,25,FALSE,
Super Fang,tough,25,FALSE,
Cotton Spore,beauty,26,FALSE,
Electroweb,beauty,26,FALSE,
Confuse Ray,clever,26,FALSE,
Magic Powder,clever,26,FALSE,
Taunt,clever,26,TRUE,Counter|Destiny Bond|Grudge|King's Shield|Metal Burst|Mirror Coat|Shell Trap|Spite
Dynamic Punch,cool,26,FALSE,
Leer,cool,26,FALSE,
Punishment,cool,26,FALSE,
Charm,cute,26,FALSE,
Soak,cute,26,FALSE,
Uproar,cute,26,FALSE,
Salt Cure,tough,26,FALSE,
Sludge Bomb,tough,26,FALSE,
Smack Down,tough,26,FALSE,
Sticky Web,tough,26,FALSE,
Tar Shot,tough,26,TRUE,Fire Blast|Fire Punch|Fire Spin|Flame Charge|Flamethrower|Flare Blitz|Heat Crash|Heat Wave|Incinerate|Overheat|Temper Flare
Wring Out,tough,26,FALSE,
Acid Spray,beauty,27,FALSE,
Tera Starstorm,beauty,27,FALSE,
